timestamps,TP9,AF7,AF8,TP10,Right AUX
1593356541.420,-36.621,-31.738,18.555,48.828,0.000
1593356541.424,-1.465,-24.902,25.391,60.059,0.000
1593356541.428,-0.977,-20.508,24.414,61.035,0.000
1593356541.432,-32.227,-17.578,21.973,50.781,0.000
1593356541.436,-58.594,-22.461,27.344,41.016,0.000
1593356541.439,-49.316,-29.297,28.320,48.340,0.000
1593356541.443,-17.090,-31.250,24.414,70.312,0.000
1593356541.447,-16.602,-31.738,27.832,61.035,0.000
1593356541.451,-52.734,-30.762,24.902,42.480,0.000
1593356541.455,-74.219,-33.203,19.043,38.574,0.000
1593356541.459,-53.711,-36.133,19.531,40.527,0.000
1593356541.463,-22.461,-37.109,17.578,50.781,0.000
1593356541.467,-24.414,-36.133,20.996,51.758,0.000
1593356541.471,-62.012,-36.133,17.578,26.855,0.000
1593356541.475,-86.914,-38.086,7.324,10.742,0.000
1593356541.478,-71.777,-39.551,5.371,28.320,0.000
1593356541.482,-54.199,-39.551,10.742,32.715,0.000
1593356541.486,-60.059,-40.527,14.648,29.785,0.000
1593356541.490,-74.707,-40.527,10.742,19.043,0.000
1593356541.494,-88.379,-37.109,11.230,8.301,0.000
1593356541.498,-88.867,-40.039,11.719,25.391,0.000
1593356541.502,-60.547,-37.598,5.859,41.016,0.000
1593356541.506,-52.246,-34.668,12.207,33.203,0.000
1593356541.510,-76.660,-34.668,23.438,28.320,0.000
1593356541.514,-89.355,-28.809,24.902,32.227,0.000
1593356541.518,-75.195,-22.461,21.973,32.715,0.000
1593356541.521,-51.758,-17.578,17.090,25.879,0.000
1593356541.525,-39.062,-19.043,21.973,24.902,0.000
1593356541.529,-47.363,-22.461,25.391,30.273,0.000
1593356541.533,-77.148,-24.414,19.043,32.227,0.000
1593356541.537,-72.754,-24.414,13.184,44.434,0.000
1593356541.541,-37.109,-15.625,17.090,59.082,0.000
1593356541.545,-28.809,-11.719,20.996,57.617,0.000
1593356541.549,-55.176,-14.648,16.113,37.109,0.000
1593356541.553,-76.660,-15.137,15.625,24.902,0.000
1593356541.557,-74.707,-17.578,15.625,28.809,0.000
1593356541.561,-62.012,-20.020,14.648,28.320,0.000
1593356541.564,-37.598,-18.555,13.184,43.945,0.000
1593356541.568,-34.668,-15.137,7.812,48.828,0.000
1593356541.572,-70.801,-13.184,9.277,25.391,0.000
1593356541.576,-92.285,-14.160,9.766,11.230,0.000
1593356541.580,-54.199,-12.695,13.184,36.621,0.000
1593356541.584,-27.344,-7.812,12.207,60.059,0.000
1593356541.588,-46.387,-10.254,10.254,48.828,0.000
1593356541.592,-75.195,-16.113,10.742,33.203,0.000
1593356541.596,-83.008,-14.648,6.348,24.902,0.000
1593356541.600,-69.336,-18.555,-1.953,23.926,0.000
1593356541.603,-46.387,-18.555,-5.371,41.504,0.000
1593356541.607,-43.945,-9.277,-2.930,42.480,0.000
1593356541.611,-79.102,-14.648,-2.930,19.043,0.000
1593356541.615,-97.168,-18.066,-8.301,-5.371,0.000
1593356541.619,-73.242,-10.254,-10.254,-4.395,0.000
1593356541.623,-48.828,-12.207,-9.766,16.113,0.000
1593356541.627,-45.898,-13.672,-10.742,24.414,0.000
1593356541.631,-67.871,-9.766,-11.719,25.391,0.000
1593356541.635,-99.121,-8.789,-11.719,14.648,0.000
1593356541.639,-79.102,-7.324,-9.766,17.090,0.000
1593356541.643,-54.199,-7.812,-11.230,27.832,0.000
1593356541.646,-60.059,-10.742,-13.672,25.391,0.000
1593356541.650,-83.008,-10.742,-11.719,9.766,0.000
1593356541.654,-107.422,-12.207,-11.230,-1.465,0.000
1593356541.658,-91.797,-9.766,-9.766,4.395,0.000
1593356541.662,-63.965,-8.301,-8.301,28.809,0.000
1593356541.666,-62.012,-6.348,-8.789,39.551,0.000
1593356541.670,-94.238,-6.348,-10.254,8.789,0.000
1593356541.674,-113.770,-4.395,-6.836,0.000,0.000
1593356541.678,-93.262,-3.906,-1.465,19.043,0.000
1593356541.682,-67.383,-2.930,-2.441,30.762,0.000
1593356541.686,-54.199,-1.465,-0.977,40.039,0.000
1593356541.689,-76.660,-2.930,-1.953,21.973,0.000
1593356541.693,-117.188,-2.930,-11.230,-3.418,0.000
1593356541.697,-113.770,-2.930,-15.137,3.418,0.000
1593356541.701,-78.613,-4.883,-12.695,14.648,0.000
1593356541.705,-55.664,-6.348,-11.719,24.414,0.000
1593356541.709,-80.566,-6.836,-15.137,11.230,0.000
1593356541.713,-110.840,-9.277,-13.184,0.488,0.000
1593356541.717,-104.980,-13.184,-11.719,5.371,0.000
1593356541.721,-79.590,-14.648,-16.113,14.160,0.000
1593356541.725,-62.988,-18.555,-18.555,26.367,0.000
1593356541.728,-78.125,-24.414,-23.926,6.348,0.000
1593356541.732,-116.211,-22.949,-26.367,-13.184,0.000
1593356541.736,-130.859,-20.020,-20.020,-8.301,0.000
1593356541.740,-103.516,-18.555,-18.066,1.953,0.000
1593356541.744,-82.031,-19.043,-18.066,3.418,0.000
1593356541.748,-97.656,-23.926,-24.902,-2.441,0.000
1593356541.752,-133.789,-27.832,-28.809,-16.113,0.000
1593356541.756,-135.254,-30.762,-29.785,-26.855,0.000
1593356541.760,-112.793,-37.598,-38.086,-29.785,0.000
1593356541.764,-94.727,-38.086,-41.504,-23.926,0.000
1593356541.768,-99.609,-39.062,-45.410,-16.113,0.000
1593356541.771,-139.648,-47.363,-50.781,-34.668,0.000
1593356541.775,-154.785,-48.340,-50.293,-46.875,0.000
1593356541.779,-134.766,-44.434,-52.734,-27.832,0.000
1593356541.783,-105.469,-42.969,-51.758,-12.695,0.000
1593356541.787,-114.258,-44.434,-52.246,-14.160,0.000
1593356541.791,-150.391,-46.875,-60.059,-39.062,0.000
1593356541.795,-167.969,-53.223,-64.453,-62.012,0.000
1593356541.799,-154.297,-54.199,-63.965,-56.641,0.000
1593356541.803,-129.883,-56.152,-69.824,-42.480,0.000
1593356541.807,-135.742,-62.988,-76.172,-39.062,0.000
1593356541.811,-173.828,-68.848,-84.473,-54.688,0.000
1593356541.814,-188.965,-69.336,-88.379,-70.801,0.000
1593356541.818,-166.016,-65.918,-84.961,-59.082,0.000
1593356541.822,-142.578,-65.430,-85.449,-50.781,0.000
1593356541.826,-157.227,-71.289,-92.773,-64.453,0.000
1593356541.830,-184.082,-86.426,-102.539,-83.008,0.000
1593356541.834,-195.801,-98.633,-105.957,-87.402,0.000
1593356541.838,-185.547,-109.863,-105.469,-79.102,0.000
1593356541.842,-158.691,-115.234,-104.004,-73.730,0.000
1593356541.846,-151.855,-108.398,-108.398,-66.895,0.000
1593356541.850,-169.922,-93.262,-117.676,-72.754,0.000
1593356541.853,-190.430,-86.914,-128.906,-88.379,0.000
1593356541.857,-196.777,-87.402,-136.719,-105.469,0.000
1593356541.861,-180.176,-85.449,-134.277,-100.098,0.000
1593356541.865,-174.316,-87.402,-136.230,-93.262,0.000
