timestamps,TP9,AF7,AF8,TP10,Right AUX
1593356376.889,-55.176,-24.902,-29.785,-58.105,0.000
1593356376.893,-81.055,-28.809,-27.832,-77.148,0.000
1593356376.896,-51.758,-23.438,-28.320,-72.754,0.000
1593356376.900,-11.719,-19.531,-26.855,-44.434,0.000
1593356376.904,-14.648,-19.531,-24.902,-44.922,0.000
1593356376.908,-50.293,-20.508,-26.855,-63.477,0.000
1593356376.912,-64.453,-21.484,-21.973,-67.871,0.000
1593356376.916,-59.082,-23.438,-21.484,-71.289,0.000
1593356376.920,-33.691,-22.949,-22.949,-62.500,0.000
1593356376.924,-18.555,-23.438,-20.996,-43.945,0.000
1593356376.928,-49.805,-28.320,-21.484,-62.012,0.000
1593356376.932,-76.660,-29.297,-25.391,-88.379,0.000
1593356376.936,-58.594,-26.855,-24.414,-84.473,0.000
1593356376.939,-24.414,-27.344,-24.902,-63.965,0.000
1593356376.943,-13.184,-28.320,-28.809,-55.176,0.000
1593356376.947,-39.551,-27.832,-28.809,-70.801,0.000
1593356376.951,-78.125,-24.414,-31.738,-90.332,0.000
1593356376.955,-72.754,-22.949,-32.715,-86.914,0.000
1593356376.959,-38.086,-27.832,-31.250,-80.078,0.000
1593356376.963,-35.156,-32.715,-33.691,-80.566,0.000
1593356376.967,-59.082,-35.156,-38.086,-83.984,0.000
1593356376.971,-87.891,-34.668,-37.109,-100.098,0.000
1593356376.975,-96.680,-32.227,-30.762,-104.492,0.000
1593356376.978,-57.617,-30.762,-31.250,-77.637,0.000
1593356376.982,-31.250,-35.156,-30.273,-60.059,0.000
1593356376.986,-56.641,-37.109,-32.227,-69.824,0.000
1593356376.990,-100.098,-36.621,-37.598,-101.562,0.000
1593356376.994,-105.469,-33.691,-40.527,-103.027,0.000
1593356376.998,-63.477,-26.367,-40.527,-75.684,0.000
1593356377.002,-43.945,-20.508,-36.621,-77.148,0.000
1593356377.006,-69.336,-23.926,-31.738,-82.520,0.000
1593356377.010,-108.398,-29.297,-32.715,-105.469,0.000
1593356377.014,-109.375,-29.297,-35.645,-114.258,0.000
1593356377.018,-75.684,-25.879,-32.715,-102.051,0.000
1593356377.021,-48.828,-25.879,-28.809,-92.285,0.000
1593356377.025,-63.477,-29.785,-31.250,-99.121,0.000
1593356377.029,-103.516,-29.785,-35.156,-129.883,0.000
1593356377.033,-101.074,-27.832,-40.039,-137.207,0.000
1593356377.037,-67.871,-26.855,-40.039,-115.723,0.000
1593356377.041,-40.527,-28.809,-36.621,-87.891,0.000
1593356377.045,-47.363,-31.738,-40.527,-82.031,0.000
1593356377.049,-94.238,-31.738,-49.316,-105.957,0.000
1593356377.053,-119.141,-29.785,-51.758,-110.352,0.000
1593356377.057,-90.332,-31.738,-51.758,-91.797,0.000
1593356377.061,-46.875,-35.645,-43.945,-69.336,0.000
1593356377.064,-45.898,-34.668,-39.551,-65.430,0.000
