timestamps,TP9,AF7,AF8,TP10,Right AUX
1593356214.514,-128.906,-13.672,-18.555,-112.793,0.000
1593356214.518,-171.875,-15.625,-16.602,-147.461,0.000
1593356214.521,-94.238,-13.184,-22.461,-96.191,0.000
1593356214.525,-17.090,-17.090,-35.156,-39.551,0.000
1593356214.529,-31.738,-15.625,-39.062,-40.039,0.000
1593356214.533,-106.934,-10.742,-25.879,-95.703,0.000
1593356214.537,-163.086,-17.578,-21.484,-148.438,0.000
1593356214.541,-98.633,-16.113,-18.555,-99.121,0.000
1593356214.545,-12.207,-15.137,-26.367,-28.809,0.000
1593356214.549,-18.066,-21.484,-38.086,-37.598,0.000
1593356214.553,-94.238,-14.648,-26.855,-103.027,0.000
1593356214.557,-145.996,-6.348,-16.113,-145.996,0.000
1593356214.561,-95.703,-8.301,-20.508,-107.422,0.000
1593356214.564,-14.648,-19.043,-26.367,-27.832,0.000
1593356214.568,-6.348,-23.438,-22.461,-4.395,0.000
1593356214.572,-92.285,-21.973,-16.602,-72.754,0.000
1593356214.576,-152.344,-20.996,-9.766,-126.953,0.000
1593356214.580,-113.281,-23.926,-13.672,-96.191,0.000
1593356214.584,-36.621,-28.809,-30.273,-28.320,0.000
1593356214.588,-13.672,-26.367,-29.785,0.488,0.000
1593356214.592,-87.891,-21.484,-18.555,-53.223,0.000
1593356214.596,-148.438,-20.508,-13.184,-115.723,0.000
1593356214.600,-120.605,-17.090,-16.113,-102.539,0.000
1593356214.604,-41.992,-17.578,-32.227,-42.480,0.000
1593356214.607,-1.465,-20.020,-36.133,-10.254,0.000
1593356214.611,-55.176,-20.996,-26.367,-55.664,0.000
1593356214.615,-119.629,-14.160,-16.602,-119.629,0.000
1593356214.619,-117.676,-4.883,-15.625,-132.324,0.000
1593356214.623,-44.922,-11.230,-25.879,-69.824,0.000
1593356214.627,3.906,-16.602,-28.809,-7.324,0.000
1593356214.631,-48.340,-17.090,-22.949,-29.785,0.000
1593356214.635,-131.836,-17.578,-8.301,-90.820,0.000
1593356214.639,-152.344,-15.625,-8.301,-103.027,0.000
1593356214.643,-81.055,-21.973,-29.297,-48.340,0.000
1593356214.646,-16.602,-23.438,-29.785,11.230,0.000
1593356214.650,-49.316,-19.531,-16.602,-12.695,0.000
1593356214.654,-131.836,-14.648,-7.812,-85.449,0.000
1593356214.658,-163.574,-13.184,-7.812,-112.793,0.000
1593356214.662,-80.078,-17.090,-10.254,-53.223,0.000
1593356214.666,-11.230,-18.555,-14.160,-2.441,0.000
1593356214.670,-36.621,-18.555,-14.160,-33.691,0.000
1593356214.674,-110.840,-12.695,0.977,-92.773,0.000
1593356214.678,-159.180,-9.277,-1.465,-132.324,0.000
1593356214.682,-95.703,-10.254,-18.555,-94.727,0.000
1593356214.686,-15.137,-9.766,-21.484,-33.203,0.000
1593356214.689,-22.949,-12.207,-18.066,-29.297,0.000
1593356214.693,-106.934,-12.695,-8.789,-95.703,0.000
1593356214.697,-166.016,-10.742,-7.324,-147.461,0.000
1593356214.701,-100.098,-11.230,-12.207,-99.121,0.000
1593356214.705,-16.113,-7.812,-20.508,-22.949,0.000
1593356214.709,-16.602,-4.395,-18.555,-6.836,0.000
1593356214.713,-104.980,-0.977,-8.301,-85.938,0.000
1593356214.717,-170.410,1.465,-8.301,-147.461,0.000
1593356214.721,-111.816,-0.977,-12.207,-111.328,0.000
1593356214.725,-19.531,-6.836,-18.555,-37.598,0.000
1593356214.729,1.465,-6.348,-13.184,-6.348,0.000
1593356214.732,-78.125,0.488,0.488,-79.102,0.000
1593356214.736,-166.504,-0.977,-3.418,-166.504,0.000
1593356214.740,-139.160,-4.395,-11.230,-148.438,0.000
1593356214.744,-37.598,-8.301,-17.578,-66.406,0.000
1593356214.748,0.977,-14.648,-17.090,-23.438,0.000
1593356214.752,-77.148,-9.766,-11.230,-94.238,0.000
1593356214.756,-150.391,-4.883,-4.395,-165.039,0.000
1593356214.760,-138.184,-4.883,-14.648,-160.645,0.000
1593356214.764,-42.480,-8.301,-23.926,-93.262,0.000
1593356214.768,15.625,-9.766,-21.484,-40.527,0.000
1593356214.771,-53.223,-3.906,-17.578,-87.402,0.000
1593356214.775,-135.254,-1.465,-15.137,-164.551,0.000
1593356214.779,-135.254,-2.441,-21.973,-181.152,0.000
1593356214.783,-35.156,-5.859,-25.391,-95.215,0.000
1593356214.787,27.344,-8.301,-26.367,-28.809,0.000
1593356214.791,-45.898,-10.742,-21.484,-76.660,0.000
1593356214.795,-128.418,-11.719,-10.742,-143.066,0.000
1593356214.799,-143.066,-9.277,-15.137,-145.996,0.000
1593356214.803,-49.805,-9.277,-17.578,-68.848,0.000
1593356214.807,20.020,-16.113,-20.020,-19.043,0.000
1593356214.811,-35.645,-16.113,-16.602,-57.129,0.000
