timestamps,TP9,AF7,AF8,TP10,Right AUX
1595685540.643,-7.812,-23.926,-31.738,-22.461,0.000
1595685540.647,2.441,-25.391,-35.645,-24.414,0.000
1595685540.651,18.066,-33.203,-44.434,-12.695,0.000
1595685540.655,20.508,-32.715,-42.480,-12.695,0.000
1595685540.659,4.395,-32.227,-38.086,-25.879,0.000
1595685540.663,-7.324,-42.969,-36.133,-33.691,0.000
1595685540.667,-0.488,-61.523,-40.527,-21.484,0.000
1595685540.671,14.648,-64.941,-43.457,-4.395,0.000
1595685540.675,16.602,-59.570,-41.504,-21.973,0.000
1595685540.678,4.883,-54.688,-36.621,-38.086,0.000
1595685540.682,-7.324,-50.781,-32.715,-37.109,0.000
1595685540.686,-8.301,-48.828,-35.645,-30.762,0.000
1595685540.690,3.906,-48.340,-39.551,-24.414,0.000
1595685540.694,5.859,-53.223,-39.062,-22.461,0.000
1595685540.698,-3.906,-58.594,-36.133,-27.344,0.000
1595685540.702,-25.879,-61.523,-34.668,-44.434,0.000
1595685540.706,-41.504,-65.918,-38.086,-52.734,0.000
1595685540.710,-24.414,-64.453,-39.551,-32.227,0.000
1595685540.714,-14.160,-59.082,-37.109,-19.531,0.000
1595685540.718,-25.391,-57.617,-37.109,-43.945,0.000
1595685540.721,-27.832,-56.152,-36.621,-62.012,0.000
1595685540.725,-20.508,-48.828,-36.133,-46.875,0.000
1595685540.729,-10.742,-46.875,-38.086,-31.738,0.000
1595685540.733,-0.488,-50.781,-40.527,-24.414,0.000
1595685540.737,-6.348,-47.852,-40.527,-38.574,0.000
1595685540.741,-30.273,-43.945,-42.480,-62.500,0.000
1595685540.745,-35.645,-42.480,-42.480,-57.129,0.000
1595685540.749,-19.531,-39.062,-34.180,-41.504,0.000
1595685540.753,-0.488,-40.527,-28.320,-38.086,0.000
1595685540.757,-4.883,-43.457,-35.156,-40.527,0.000
1595685540.761,-25.391,-39.551,-37.109,-42.969,0.000
1595685540.764,-35.156,-38.086,-35.156,-54.199,0.000
1595685540.768,-24.414,-39.551,-36.621,-44.434,0.000
1595685540.772,-7.812,-41.992,-38.574,-29.785,0.000
1595685540.776,-15.137,-39.551,-37.109,-36.133,0.000
1595685540.780,-30.273,-42.969,-33.203,-52.246,0.000
1595685540.784,-37.598,-44.434,-37.598,-57.617,0.000
1595685540.788,-25.391,-41.016,-40.527,-39.062,0.000
1595685540.792,-3.906,-30.762,-41.504,-20.508,0.000
1595685540.796,-1.953,-27.832,-46.875,-29.297,0.000
1595685540.800,-14.160,-36.621,-51.270,-39.551,0.000
1595685540.803,-20.020,-36.133,-52.734,-35.645,0.000
1595685540.807,-10.254,-33.691,-47.363,-28.809,0.000
1595685540.811,0.000,-29.785,-41.016,-12.207,0.000
1595685540.815,6.348,-23.438,-41.016,-15.137,0.000
1595685540.819,-4.883,-25.879,-39.062,-34.180,0.000
1595685540.823,-20.996,-31.738,-35.156,-42.480,0.000
1595685540.827,-14.160,-34.180,-35.156,-31.250,0.000
1595685540.831,-11.230,-36.133,-33.691,-18.555,0.000
1595685540.835,-23.926,-35.156,-29.785,-34.668,0.000
1595685540.839,-35.645,-39.062,-33.691,-60.547,0.000
1595685540.843,-39.551,-35.645,-33.203,-62.500,0.000
1595685540.846,-29.785,-30.273,-25.879,-48.828,0.000
1595685540.850,-20.996,-33.203,-31.738,-32.227,0.000
1595685540.854,-19.043,-36.621,-39.062,-27.832,0.000
1595685540.858,-34.668,-35.645,-39.551,-46.875,0.000
1595685540.862,-50.293,-35.645,-40.527,-55.176,0.000
1595685540.866,-35.645,-36.621,-40.039,-47.852,0.000
1595685540.870,-18.066,-38.086,-39.551,-34.180,0.000
1595685540.874,-17.090,-39.551,-43.945,-35.156,0.000
1595685540.878,-30.273,-34.180,-48.340,-44.922,0.000
1595685540.882,-37.109,-25.879,-46.875,-42.480,0.000
1595685540.886,-26.855,-23.926,-45.898,-28.320,0.000
1595685540.889,-6.836,-27.832,-42.969,-26.855,0.000
1595685540.893,3.418,-25.879,-39.551,-29.785,0.000
1595685540.897,-2.930,-22.949,-42.969,-33.203,0.000
1595685540.901,-31.738,-28.809,-47.852,-35.645,0.000
1595685540.905,-40.527,-31.250,-48.828,-43.945,0.000
1595685540.909,-18.066,-31.250,-48.828,-41.992,0.000
1595685540.913,-3.906,-32.715,-50.781,-23.438,0.000
1595685540.917,1.465,-29.297,-50.781,-30.273,0.000
1595685540.921,-7.812,-23.438,-42.969,-39.062,0.000
1595685540.925,-28.320,-22.461,-38.574,-37.109,0.000
1595685540.928,-20.508,-23.926,-41.504,-32.227,0.000
1595685540.932,0.977,-17.090,-33.691,-19.043,0.000
1595685540.936,0.488,-20.508,-35.645,-26.367,0.000
1595685540.940,-9.277,-28.320,-43.945,-42.480,0.000
1595685540.944,-21.973,-27.832,-44.922,-40.527,0.000
1595685540.948,-26.367,-24.902,-44.922,-31.738,0.000
1595685540.952,-4.395,-20.996,-37.109,-20.996,0.000
1595685540.956,-1.465,-21.484,-29.785,-20.996,0.000
1595685540.960,-19.531,-26.855,-37.598,-41.504,0.000
1595685540.964,-29.785,-28.809,-52.734,-53.223,0.000
1595685540.968,-25.391,-28.320,-51.758,-32.715,0.000
1595685540.971,-14.160,-33.691,-47.852,-16.113,0.000
1595685540.975,-21.484,-37.109,-50.293,-26.855,0.000
1595685540.979,-37.598,-41.016,-51.758,-49.805,0.000
1595685540.983,-46.387,-41.992,-48.340,-63.965,0.000
1595685540.987,-32.715,-39.062,-37.598,-52.246,0.000
1595685540.991,-13.184,-38.086,-35.156,-30.762,0.000
1595685540.995,-12.207,-36.621,-41.016,-30.762,0.000
1595685540.999,-25.391,-37.109,-43.457,-47.363,0.000
1595685541.003,-27.344,-33.203,-43.945,-58.594,0.000
1595685541.007,-29.785,-30.273,-48.340,-58.594,0.000
1595685541.011,-32.227,-30.273,-52.246,-44.434,0.000
1595685541.014,-18.066,-25.879,-47.363,-28.809,0.000
1595685541.018,-18.555,-26.367,-45.410,-44.434,0.000
1595685541.022,-41.504,-22.461,-41.504,-61.523,0.000
1595685541.026,-35.156,-18.066,-35.156,-48.828,0.000
1595685541.030,-17.578,-23.926,-35.156,-23.438,0.000
1595685541.034,-9.277,-26.855,-35.156,-21.484,0.000
1595685541.038,-23.926,-24.414,-39.551,-41.504,0.000
1595685541.042,-45.898,-26.367,-40.039,-59.570,0.000
1595685541.046,-39.062,-26.367,-39.062,-59.082,0.000
1595685541.050,-12.207,-23.926,-38.086,-40.039,0.000
1595685541.053,-1.953,-25.879,-41.016,-29.297,0.000
1595685541.057,-18.066,-31.738,-45.898,-47.363,0.000
1595685541.061,-33.203,-32.715,-44.922,-63.477,0.000
1595685541.065,-31.738,-30.762,-45.898,-49.316,0.000
