timestamps,TP9,AF7,AF8,TP10,Right AUX
1593354459.712,-104.004,-41.504,1.465,-66.895,0.000
1593354459.716,-97.168,-38.086,-2.441,-66.406,0.000
1593354459.720,-83.496,-34.180,4.883,-42.969,0.000
1593354459.724,-82.031,-33.203,3.418,-44.434,0.000
1593354459.728,-84.473,-29.297,4.395,-62.500,0.000
1593354459.732,-84.473,-36.133,0.488,-71.289,0.000
1593354459.736,-83.984,-35.156,-5.371,-70.801,0.000
1593354459.740,-81.055,-26.367,-7.812,-63.965,0.000
1593354459.743,-89.355,-22.949,-7.812,-65.918,0.000
1593354459.747,-87.402,-27.344,-7.812,-72.266,0.000
1593354459.751,-87.402,-31.738,-14.648,-80.078,0.000
1593354459.755,-83.008,-29.297,-5.371,-73.242,0.000
1593354459.759,-66.895,-20.996,6.348,-56.641,0.000
1593354459.763,-72.266,-15.137,5.859,-60.059,0.000
1593354459.767,-89.844,-24.414,-4.395,-68.848,0.000
1593354459.771,-88.867,-31.738,-10.254,-64.941,0.000
1593354459.775,-74.707,-30.273,-6.836,-52.734,0.000
1593354459.779,-64.941,-21.973,-5.859,-47.852,0.000
1593354459.783,-68.359,-18.066,-0.977,-55.176,0.000
1593354459.786,-72.754,-24.902,3.418,-64.453,0.000
1593354459.790,-66.406,-29.785,-3.906,-68.848,0.000
1593354459.794,-62.988,-26.855,-11.230,-65.918,0.000
1593354459.798,-74.219,-23.438,-8.789,-63.477,0.000
1593354459.802,-83.496,-25.879,1.953,-59.570,0.000
1593354459.806,-79.590,-31.738,1.465,-63.477,0.000
1593354459.810,-76.660,-32.227,-0.488,-70.312,0.000
1593354459.814,-67.383,-29.785,7.324,-60.547,0.000
1593354459.818,-72.754,-26.855,11.719,-57.129,0.000
1593354459.822,-76.660,-32.227,9.277,-71.289,0.000
1593354459.826,-64.941,-34.180,7.324,-72.266,0.000
1593354459.829,-70.312,-30.273,6.836,-71.777,0.000
1593354459.833,-63.477,-34.180,3.906,-67.383,0.000
1593354459.837,-64.941,-33.691,0.977,-74.219,0.000
1593354459.841,-62.500,-24.414,4.883,-70.801,0.000
1593354459.845,-61.523,-22.461,-1.465,-64.941,0.000
1593354459.849,-66.406,-32.715,-5.859,-64.453,0.000
1593354459.853,-70.801,-41.016,-10.254,-67.383,0.000
1593354459.857,-78.125,-29.785,-13.184,-76.172,0.000
1593354459.861,-73.730,-27.344,-4.395,-73.242,0.000
1593354459.865,-69.824,-30.273,5.859,-80.078,0.000
1593354459.868,-64.941,-34.668,7.324,-83.496,0.000
1593354459.872,-71.777,-38.574,-6.836,-88.379,0.000
1593354459.876,-81.543,-34.668,-14.160,-97.168,0.000
1593354459.880,-69.824,-27.832,-5.859,-92.773,0.000
1593354459.884,-65.430,-29.785,-1.953,-90.332,0.000
1593354459.888,-67.871,-40.039,-2.441,-94.727,0.000
1593354459.892,-81.543,-46.875,-7.812,-104.980,0.000
1593354459.896,-97.168,-47.363,-12.695,-108.398,0.000
1593354459.900,-91.309,-44.922,-8.301,-104.004,0.000
1593354459.904,-83.008,-41.992,-0.488,-97.168,0.000
1593354459.908,-77.637,-49.805,-4.883,-88.379,0.000
1593354459.911,-85.938,-54.199,-21.484,-105.469,0.000
1593354459.915,-89.844,-45.898,-20.020,-115.234,0.000
1593354459.919,-82.031,-40.527,-7.324,-100.586,0.000
1593354459.923,-79.102,-39.551,-8.789,-100.098,0.000
1593354459.927,-90.332,-45.898,-15.137,-109.863,0.000
