timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686040.022,-32.715,-38.574,-51.270,-33.691,0.000
1595686040.026,-47.363,-44.922,-48.340,-34.668,0.000
1595686040.030,-42.480,-44.922,-46.875,-27.344,0.000
1595686040.034,-24.902,-41.504,-48.828,-19.043,0.000
1595686040.038,-24.902,-41.992,-51.270,-19.043,0.000
1595686040.042,-35.156,-40.039,-52.246,-19.531,0.000
1595686040.046,-36.133,-43.945,-49.316,-22.461,0.000
1595686040.050,-27.344,-44.434,-51.758,-21.484,0.000
1595686040.053,-18.555,-40.039,-52.734,-11.719,0.000
1595686040.057,-13.184,-40.527,-58.594,0.977,0.000
1595686040.061,-19.531,-41.016,-62.012,-4.883,0.000
1595686040.065,-22.949,-41.992,-56.641,-7.812,0.000
1595686040.069,-24.414,-44.434,-50.293,4.395,0.000
1595686040.073,-17.090,-39.551,-41.504,7.812,0.000
1595686040.077,-14.160,-38.574,-42.969,-3.418,0.000
1595686040.081,-22.461,-42.480,-48.828,-11.230,0.000
1595686040.085,-25.879,-42.480,-49.316,-13.184,0.000
1595686040.089,-21.973,-43.457,-51.270,-15.137,0.000
1595686040.093,-17.090,-43.945,-52.734,-8.789,0.000
1595686040.096,-9.277,-42.480,-54.688,-7.812,0.000
1595686040.100,-13.184,-41.992,-60.059,-18.555,0.000
1595686040.104,-26.367,-39.551,-56.152,-20.996,0.000
1595686040.108,-21.484,-38.086,-50.781,-10.742,0.000
1595686040.112,-10.254,-35.645,-44.922,-3.418,0.000
1595686040.116,-5.859,-35.645,-43.945,-8.301,0.000
1595686040.120,-17.090,-34.180,-52.246,-11.230,0.000
1595686040.124,-22.949,-32.715,-52.246,-0.977,0.000
1595686040.128,-13.184,-28.809,-55.176,3.418,0.000
1595686040.132,-7.812,-27.832,-53.223,5.859,0.000
1595686040.136,0.000,-27.832,-47.852,2.930,0.000
1595686040.139,-2.441,-25.391,-51.270,-3.906,0.000
1595686040.143,-9.766,-26.855,-52.246,-4.883,0.000
1595686040.147,-9.766,-27.344,-46.875,3.906,0.000
1595686040.151,-6.836,-28.320,-46.875,7.812,0.000
1595686040.155,-2.441,-30.273,-49.805,12.207,0.000
1595686040.159,-7.812,-33.203,-47.852,10.742,0.000
1595686040.163,-20.996,-32.227,-50.781,0.488,0.000
1595686040.167,-24.414,-32.227,-50.293,3.906,0.000
1595686040.171,-22.461,-38.574,-55.176,12.207,0.000
1595686040.175,-19.043,-36.133,-54.199,11.719,0.000
1595686040.178,-7.812,-31.738,-46.387,16.602,0.000
1595686040.182,-12.695,-33.691,-52.246,17.090,0.000
1595686040.186,-41.992,-37.598,-58.594,8.301,0.000
1595686040.190,-40.039,-41.504,-57.129,8.789,0.000
1595686040.194,-24.414,-41.016,-54.688,12.695,0.000
1595686040.198,-19.531,-39.062,-55.664,13.184,0.000
1595686040.202,-22.949,-34.180,-52.734,21.973,0.000
1595686040.206,-28.809,-28.809,-49.805,28.809,0.000
1595686040.210,-21.484,-24.414,-45.898,28.320,0.000
1595686040.214,-13.672,-25.391,-41.504,28.320,0.000
1595686040.218,-20.508,-30.273,-42.969,17.578,0.000
1595686040.221,-24.414,-33.691,-48.340,2.441,0.000
1595686040.225,-20.996,-30.273,-52.734,-0.977,0.000
1595686040.229,-15.625,-25.879,-52.246,1.465,0.000
1595686040.233,-5.371,-22.949,-48.828,7.324,0.000
1595686040.237,5.371,-17.090,-44.922,16.113,0.000
1595686040.241,6.836,-13.184,-41.992,22.461,0.000
1595686040.245,5.371,-11.719,-37.109,13.672,0.000
1595686040.249,10.742,-8.789,-35.645,14.648,0.000
1595686040.253,10.742,-8.789,-40.527,24.414,0.000
1595686040.257,0.488,-18.555,-41.504,19.531,0.000
1595686040.261,-11.719,-21.484,-44.922,6.836,0.000
1595686040.264,-14.648,-13.672,-42.480,6.348,0.000
1595686040.268,-9.766,-14.648,-36.133,11.230,0.000
1595686040.272,-4.395,-20.020,-34.668,17.090,0.000
1595686040.276,0.977,-20.020,-36.133,18.066,0.000
1595686040.280,-9.277,-25.391,-40.039,14.648,0.000
1595686040.284,-27.832,-33.203,-41.504,7.812,0.000
1595686040.288,-27.344,-29.785,-41.016,12.207,0.000
1595686040.292,-19.043,-26.855,-36.133,29.785,0.000
1595686040.296,-13.672,-29.785,-29.785,40.039,0.000
1595686040.300,-24.414,-31.738,-29.297,27.344,0.000
1595686040.303,-36.621,-29.785,-30.273,17.578,0.000
1595686040.307,-34.668,-23.926,-32.227,23.438,0.000
1595686040.311,-26.855,-23.438,-36.133,30.273,0.000
1595686040.315,-11.719,-22.949,-37.598,38.574,0.000
1595686040.319,-9.277,-20.508,-36.133,40.039,0.000
1595686040.323,-16.113,-18.555,-38.086,30.762,0.000
1595686040.327,-17.578,-14.160,-40.039,23.438,0.000
1595686040.331,-5.371,-15.625,-40.527,31.250,0.000
1595686040.335,10.742,-16.113,-37.598,44.434,0.000
1595686040.339,7.324,-13.672,-39.062,39.551,0.000
1595686040.343,-8.789,-15.625,-44.434,26.855,0.000
1595686040.346,-12.695,-17.578,-46.875,29.297,0.000
1595686040.350,-1.465,-15.625,-44.434,27.832,0.000
1595686040.354,6.348,-18.066,-45.898,29.297,0.000
1595686040.358,9.766,-21.484,-42.969,38.086,0.000
1595686040.362,11.230,-14.648,-35.156,52.734,0.000
1595686040.366,2.930,-18.555,-36.621,53.711,0.000
