timestamps,TP9,AF7,AF8,TP10,Right AUX
1595686201.538,-29.297,-16.602,-27.344,8.301,0.000
1595686201.542,-36.621,-15.137,-26.367,5.371,0.000
1595686201.546,-36.133,-17.578,-24.902,14.648,0.000
1595686201.550,-30.762,-19.531,-29.297,7.812,0.000
1595686201.553,-20.996,-20.020,-35.156,9.766,0.000
1595686201.557,-20.508,-21.973,-31.738,12.207,0.000
1595686201.561,-19.043,-25.391,-26.855,6.348,0.000
1595686201.565,-14.160,-25.879,-29.297,3.906,0.000
1595686201.569,-10.742,-21.973,-30.762,13.672,0.000
1595686201.573,5.371,-15.137,-25.391,24.414,0.000
1595686201.577,9.766,-9.766,-21.973,23.926,0.000
1595686201.581,-1.465,-10.742,-25.391,23.438,0.000
1595686201.585,-12.207,-13.184,-26.855,16.113,0.000
1595686201.589,-10.254,-13.184,-28.320,13.672,0.000
1595686201.593,-1.465,-14.648,-29.785,11.719,0.000
1595686201.596,2.930,-15.137,-27.344,8.301,0.000
1595686201.600,-7.324,-11.719,-22.949,12.207,0.000
1595686201.604,-20.996,-16.113,-24.902,12.695,0.000
1595686201.608,-20.508,-18.555,-23.926,11.230,0.000
1595686201.612,-12.695,-12.695,-20.508,13.184,0.000
1595686201.616,-12.695,-14.648,-27.832,8.301,0.000
1595686201.620,-25.391,-13.672,-29.297,0.488,0.000
1595686201.624,-29.297,-13.184,-27.344,7.324,0.000
1595686201.628,-13.672,-16.602,-28.809,16.113,0.000
1595686201.632,-3.418,-18.555,-27.832,7.812,0.000
1595686201.635,-9.766,-20.996,-26.855,-3.906,0.000
1595686201.639,-15.625,-20.996,-24.414,-2.441,0.000
1595686201.643,-22.461,-14.160,-24.902,-7.812,0.000
1595686201.647,-21.973,-13.184,-29.297,-14.648,0.000
1595686201.651,-20.020,-18.066,-27.832,-14.160,0.000
1595686201.655,-16.113,-15.625,-23.926,-14.648,0.000
1595686201.659,-15.137,-15.137,-25.391,-17.090,0.000
1595686201.663,-19.043,-10.742,-22.949,-12.695,0.000
1595686201.667,-17.090,-9.277,-23.926,-8.301,0.000
1595686201.671,-8.789,-10.742,-26.855,0.977,0.000
1595686201.675,-4.883,-6.348,-25.391,11.230,0.000
1595686201.678,-18.066,-7.324,-26.367,7.324,0.000
1595686201.682,-26.367,-12.207,-27.832,-1.465,0.000
1595686201.686,-23.926,-10.742,-26.855,-1.953,0.000
1595686201.690,-19.043,-9.766,-25.879,10.742,0.000
1595686201.694,-14.160,-14.648,-26.855,12.207,0.000
1595686201.698,-11.719,-10.254,-20.996,4.395,0.000
1595686201.702,-21.973,-5.371,-22.949,-0.488,0.000
1595686201.706,-33.203,-12.695,-30.762,-1.953,0.000
1595686201.710,-27.832,-20.508,-32.227,-2.441,0.000
1595686201.714,-19.043,-21.484,-32.227,-6.836,0.000
1595686201.718,-16.113,-22.949,-32.715,-8.789,0.000
1595686201.721,-23.926,-20.020,-31.738,-11.719,0.000
1595686201.725,-27.832,-16.602,-35.645,-15.137,0.000
1595686201.729,-25.879,-16.602,-40.527,-7.812,0.000
1595686201.733,-21.484,-17.090,-39.062,-1.953,0.000
1595686201.737,-21.484,-15.625,-36.133,-0.488,0.000
1595686201.741,-22.461,-10.742,-33.691,-2.441,0.000
1595686201.745,-20.508,-10.254,-32.227,-1.465,0.000
1595686201.749,-14.648,-9.277,-30.273,7.324,0.000
1595686201.753,-14.648,-8.301,-31.250,8.789,0.000
1595686201.757,-19.531,-13.672,-34.180,10.742,0.000
1595686201.760,-23.926,-17.578,-35.156,6.836,0.000
1595686201.764,-33.203,-20.508,-36.133,-0.977,0.000
1595686201.768,-31.250,-22.461,-33.691,9.766,0.000
1595686201.772,-25.879,-21.484,-30.273,17.578,0.000
1595686201.776,-28.320,-25.879,-31.250,11.230,0.000
1595686201.780,-35.645,-31.738,-35.645,-1.465,0.000
1595686201.784,-38.574,-29.785,-35.645,-7.324,0.000
1595686201.788,-37.109,-27.344,-35.156,2.930,0.000
1595686201.792,-27.344,-27.344,-33.691,11.719,0.000
1595686201.796,-14.648,-24.414,-31.250,16.602,0.000
1595686201.800,-15.625,-21.484,-28.320,17.090,0.000
